ParkID,ParkName,Category,ItemName,Price,RawText
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-일반 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-일반 (인접/준관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-일반 (관외)",400000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국가유공예우자 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국가유공예우자 (관외)",400000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국립묘지안치대상배우자 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국립묘지안치대상배우자 (인접/준관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국립묘지안치대상배우자 (관외)",400000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국가유공배우자 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-국가유공배우자 (관외)",400000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (대인)-기타1(관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (소인)-일반 (관내)",40000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (소인)-일반 (인접/준관내)",40000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (소인)-일반 (관외)",320000,""
park-1437,포항시우현화장장,화장비,"화장 이용료일반 (소인)-국가유공예우자 (관외)",320000,""
park-1437,포항시우현화장장,화장비,"화장 이용료죽은태아-일반 (관내)",20000,""
park-1437,포항시우현화장장,화장비,"화장 이용료죽은태아-일반 (인접/준관내)",20000,""
park-1437,포항시우현화장장,화장비,"화장 이용료죽은태아-일반 (관외)",160000,""
park-1437,포항시우현화장장,화장비,"화장 이용료행려 (대인)-일반 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료행려 (대인)-일반 (인접/준관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료행려 (소인)-일반 (관내)",40000,""
park-1437,포항시우현화장장,화장비,"화장 이용료행려 (소인)-일반 (인접/준관내)",40000,""
park-1437,포항시우현화장장,화장비,"화장 이용료무연고-일반 (관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료무연고-일반 (인접/준관내)",50000,""
park-1437,포항시우현화장장,화장비,"화장 이용료무연고-일반 (관외)",400000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-일반 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-일반 (인접/준관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-일반 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국민기초생활보장수급자 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국민기초생활보장수급자 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국가유공자 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국가유공자 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-보훈대상자 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-보훈대상자 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국가유공예우자 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국가유공예우자 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국립묘지안치대상배우자 (관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국립묘지안치대상배우자 (인접/준관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국립묘지안치대상배우자 (관외)",240000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-국가유공배우자 (인접/준관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-기타1(관내)",30000,""
park-1437,포항시우현화장장,작업비,"화장 이용료개장유골-기타1(관외)",240000,""
park-1437,포항시우현화장장,화장비,"한국장례문화진흥원 [04552] 서울특별시 중구 수표로 23 인농빌딩 7층, TEL : 1577-4129, FAX : 02-6919-",1475,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (대인)-일반 (관내)",60000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (대인)-일반 (인접/준관내)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (대인)-일반 (관외)",500000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (소인)-일반 (관내)",45000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (소인)-일반 (인접/준관내)",160000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료일반 (소인)-일반 (관외)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료죽은태아-일반 (관내)",26000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료죽은태아-일반 (인접/준관내)",70000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료죽은태아-일반 (관외)",150000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (대인)-일반 (관내)",60000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (대인)-일반 (인접/준관내)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (대인)-일반 (관외)",500000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (대인)-기타1(인접/준관내)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (대인)-기타1(관외)",500000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (소인)-일반 (관내)",45000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (소인)-일반 (인접/준관내)",70000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (소인)-일반 (관외)",150000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (소인)-기타1(인접/준관내)",160000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료행려 (소인)-기타1(관외)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료무연고-일반 (관내)",60000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료무연고-일반 (인접/준관내)",300000,""
park-1438,익산하늘공원정수원,화장비,"화장 이용료무연고-일반 (관외)",500000,""
park-1438,익산하늘공원정수원,작업비,"화장 이용료개장유골-일반 (관내)",24000,""
park-1438,익산하늘공원정수원,작업비,"화장 이용료개장유골-일반 (인접/준관내)",90000,""
park-1438,익산하늘공원정수원,작업비,"화장 이용료개장유골-일반 (관외)",300000,""
park-1438,익산하늘공원정수원,화장비,"한국장례문화진흥원 [04552] 서울특별시 중구 수표로 23 인농빌딩 7층, TEL : 1577-4129, FAX : 02-6919-",1475,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (대인)-일반 (관내)",100000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (대인)-일반 (관외)",700000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (대인)-기타1(관내)",50000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (대인)-기타1(관외)",350000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (소인)-일반 (관내)",80000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (소인)-일반 (관외)",500000,""
park-1439,정선하늘터,화장비,"화장 이용료일반 (소인)-기타1(관외)",250000,""
park-1439,정선하늘터,화장비,"화장 이용료죽은태아-일반 (관내)",50000,""
park-1439,정선하늘터,화장비,"화장 이용료죽은태아-일반 (관외)",300000,""
park-1439,정선하늘터,화장비,"화장 이용료죽은태아-국민기초생활보장수급자 (관외)",200000,""
park-1439,정선하늘터,화장비,"화장 이용료죽은태아-국가유공자 (관외)",200000,""
park-1439,정선하늘터,화장비,"화장 이용료죽은태아-기타1(관외)",200000,""
park-1439,정선하늘터,화장비,"화장 이용료무연고-일반 (관외)",700000,""
park-1439,정선하늘터,작업비,"화장 이용료개장유골-일반 (관내)",80000,""
park-1439,정선하늘터,작업비,"화장 이용료개장유골-일반 (관외)",400000,""
park-1439,정선하늘터,작업비,"화장 이용료개장유골-국민기초생활보장수급자 (관외)",150000,""
